film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
213,"DATE SPEED","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention",2006,1,NULL,4,0.99,104,19.99,R,Commentaries,"2006-02-15 05:03:42"
231,"DINOSAUR SECRETARY","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies",2006,1,NULL,7,2.99,63,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
262,"DUMBO LUST","A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico",2006,1,NULL,5,0.99,119,17.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
269,"EARRING INSTINCT","A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria",2006,1,NULL,3,0.99,98,22.99,R,"Behind the Scenes","2006-02-15 05:03:42"
273,"EFFECT GLADIATOR","A Beautiful Display of a Pastry Chef And a Pastry Chef who must Outgun a Forensic Psychologist in A Manhattan Penthouse",2006,1,NULL,6,0.99,107,14.99,PG,Commentaries,"2006-02-15 05:03:42"
309,"FEUD FROGMEN","A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies",2006,1,NULL,6,0.99,98,29.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
315,"FINDING ANACONDA","A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans",2006,1,NULL,4,0.99,156,10.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
345,"GABLES METROPOLIS","A Fateful Display of a Cat And a Pioneer who must Challenge a Pastry Chef in A Baloon Factory",2006,1,NULL,3,0.99,161,17.99,PG,"Trailers,Commentaries","2006-02-15 05:03:42"
348,"GANDHI KWAI","A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin",2006,1,NULL,7,0.99,86,9.99,PG-13,Trailers,"2006-02-15 05:03:42"
359,"GLADIATOR WESTWARD","A Astounding Reflection of a Squirrel And a Sumo Wrestler who must Sink a Dentist in Ancient Japan",2006,1,NULL,6,4.99,173,20.99,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
377,"GREASE YOUTH","A Emotional Panorama of a Secret Agent And a Waitress who must Escape a Composer in Soviet Georgia",2006,1,NULL,7,0.99,135,20.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
391,"HALF OUTFIELD","A Epic Epistle of a Database Administrator And a Crocodile who must Face a Madman in A Jet Boat",2006,1,NULL,6,2.99,146,25.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
419,"HOCUS FRIDA","A Awe-Inspiring Tale of a Girl And a Madman who must Outgun a Student in A Shark Tank",2006,1,NULL,4,2.99,141,19.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
428,"HOMICIDE PEACH","A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention",2006,1,NULL,6,2.99,141,21.99,PG-13,Commentaries,"2006-02-15 05:03:42"
437,"HOUSE DYNAMITE","A Taut Story of a Pioneer And a Squirrel who must Battle a Student in Soviet Georgia",2006,1,NULL,7,2.99,109,13.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
442,"HUNTING MUSKETEERS","A Thrilling Reflection of a Pioneer And a Dentist who must Outrace a Womanizer in An Abandoned Mine Shaft",2006,1,NULL,6,2.99,65,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
458,"INDIAN LOVE","A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House",2006,1,NULL,4,0.99,135,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
476,"JASON TRAP","A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery",2006,1,NULL,5,2.99,130,9.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
479,"JEDI BENEATH","A Astounding Reflection of a Explorer And a Dentist who must Pursue a Student in Nigeria",2006,1,NULL,7,0.99,128,12.99,PG,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
498,"KILLER INNOCENT","A Fanciful Character Study of a Student And a Explorer who must Succumb a Composer in An Abandoned Mine Shaft",2006,1,NULL,7,2.99,161,11.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
499,"KING EVOLUTION","A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon",2006,1,NULL,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
528,"LOLITA WORLD","A Thrilling Drama of a Girl And a Robot who must Redeem a Waitress in An Abandoned Mine Shaft",2006,1,NULL,4,2.99,155,25.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
534,"LOUISIANA HARRY","A Lacklusture Drama of a Girl And a Technical Writer who must Redeem a Monkey in A Shark Tank",2006,1,NULL,5,0.99,70,18.99,PG-13,Trailers,"2006-02-15 05:03:42"
550,"MAGUIRE APACHE","A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon",2006,1,NULL,6,2.99,74,22.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42"
557,"MANCHURIAN CURTAIN","A Stunning Tale of a Mad Cow And a Boy who must Battle a Boy in Berlin",2006,1,NULL,5,2.99,177,27.99,PG,"Trailers,Commentaries","2006-02-15 05:03:42"
603,"MOVIE SHAKESPEARE","A Insightful Display of a Database Administrator And a Student who must Build a Hunter in Berlin",2006,1,NULL,6,4.99,53,27.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
610,"MUSIC BOONDOCK","A Thrilling Tale of a Butler And a Astronaut who must Battle a Explorer in The First Manned Space Station",2006,1,NULL,7,0.99,129,17.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
617,"NATURAL STOCK","A Fast-Paced Story of a Sumo Wrestler And a Girl who must Defeat a Car in A Baloon Factory",2006,1,NULL,4,0.99,50,24.99,PG-13,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
621,"NETWORK PEAK","A Unbelieveable Reflection of a Butler And a Boat who must Outgun a Mad Scientist in California",2006,1,NULL,5,2.99,75,23.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
634,"ODDS BOOGIE","A Thrilling Yarn of a Feminist And a Madman who must Battle a Hunter in Berlin",2006,1,NULL,6,0.99,48,14.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
639,"OPPOSITE NECKLACE","A Fateful Epistle of a Crocodile And a Moose who must Kill a Explorer in Nigeria",2006,1,NULL,7,4.99,92,9.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
679,"PILOT HOOSIERS","A Awe-Inspiring Reflection of a Crocodile And a Sumo Wrestler who must Meet a Forensic Psychologist in An Abandoned Mine Shaft",2006,1,NULL,6,2.99,50,17.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
682,"PITTSBURGH HUNCHBACK","A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia",2006,1,NULL,4,4.99,134,17.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
695,"PRESIDENT BANG","A Fateful Panorama of a Technical Writer And a Moose who must Battle a Robot in Soviet Georgia",2006,1,NULL,6,4.99,144,12.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
700,"PRIX UNDEFEATED","A Stunning Saga of a Mad Scientist And a Boat who must Overcome a Dentist in Ancient China",2006,1,NULL,4,2.99,115,13.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
710,"RAGE GAMES","A Fast-Paced Saga of a Astronaut And a Secret Agent who must Escape a Hunter in An Abandoned Amusement Park",2006,1,NULL,4,4.99,120,18.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
715,"RANGE MOONWALKER","A Insightful Documentary of a Hunter And a Dentist who must Confront a Crocodile in A Baloon",2006,1,NULL,3,4.99,147,25.99,PG,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
724,"REMEMBER DIARY","A Insightful Tale of a Technical Writer And a Waitress who must Conquer a Monkey in Ancient India",2006,1,NULL,5,2.99,110,15.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
727,"RESURRECTION SILVERADO","A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention",2006,1,NULL,6,0.99,117,12.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
736,"ROBBERY BRIGHT","A Taut Reflection of a Robot And a Squirrel who must Fight a Boat in Ancient Japan",2006,1,NULL,4,0.99,134,21.99,R,Trailers,"2006-02-15 05:03:42"
753,"RUSH GOODFELLAS","A Emotional Display of a Man And a Dentist who must Challenge a Squirrel in Australia",2006,1,NULL,3,0.99,48,20.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
778,"SECRETS PARADISE","A Fateful Saga of a Cat And a Frisbee who must Kill a Girl in A Manhattan Penthouse",2006,1,NULL,3,4.99,109,24.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
780,"SENSIBILITY REAR","A Emotional Tale of a Robot And a Sumo Wrestler who must Redeem a Pastry Chef in A Baloon Factory",2006,1,NULL,7,4.99,98,15.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
795,"SIEGE MADRE","A Boring Tale of a Frisbee And a Crocodile who must Vanquish a Moose in An Abandoned Mine Shaft",2006,1,NULL,7,0.99,111,23.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
810,"SLUMS DUCK","A Amazing Character Study of a Teacher And a Database Administrator who must Defeat a Waitress in A Jet Boat",2006,1,NULL,5,0.99,147,21.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
822,"SOUP WISDOM","A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention",2006,1,NULL,6,0.99,169,12.99,R,"Behind the Scenes","2006-02-15 05:03:42"
824,"SPARTACUS CHEAPER","A Thrilling Panorama of a Pastry Chef And a Secret Agent who must Overcome a Student in A Manhattan Penthouse",2006,1,NULL,4,4.99,52,19.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
829,"SPINAL ROCKY","A Lacklusture Epistle of a Sumo Wrestler And a Squirrel who must Defeat a Explorer in California",2006,1,NULL,7,2.99,138,12.99,PG-13,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
832,"SPLASH GUMP","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank",2006,1,NULL,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
866,"SUNSET RACER","A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California",2006,1,NULL,6,0.99,48,28.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
867,"SUPER WYOMING","A Action-Packed Saga of a Pastry Chef And a Explorer who must Discover a A Shark in The Outback",2006,1,NULL,5,4.99,58,10.99,PG,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
946,"VIRTUAL SPOILERS","A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia",2006,1,NULL,3,4.99,144,14.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
975,"WILLOW TRACY","A Brilliant Panorama of a Boat And a Astronaut who must Challenge a Teacher in A Manhattan Penthouse",2006,1,NULL,6,2.99,137,22.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
